experiment,urgent,strategy,rule,rep,X_raw,X_cv,YE,YU,el_app,ur_scan
A_urgent_slots,14,1,1,0,0.427849,0.450602,67888,5986,19.245618,2.819626
A_urgent_slots,14,1,1,1,0.488374,0.468345,68962,6019,28.899833,2.847156
A_urgent_slots,14,1,1,2,0.436535,0.452437,68051,6042,20.513407,2.829883
A_urgent_slots,14,1,1,3,0.458268,0.461971,68355,6064,23.631798,2.858420
A_urgent_slots,14,1,1,4,0.443249,0.458073,68083,6015,21.166060,2.855346
A_urgent_slots,14,1,1,5,0.461727,0.461754,68427,6181,23.282246,2.908279
A_urgent_slots,14,1,1,6,0.447262,0.453710,68293,6023,22.294382,2.831015
A_urgent_slots,14,1,1,7,0.466207,0.453488,68775,6033,25.108728,2.850749
A_urgent_slots,14,1,1,8,0.457952,0.459232,68400,6155,23.907585,2.840804
A_urgent_slots,14,1,1,9,0.441725,0.471101,67702,6092,20.613730,2.871222
A_urgent_slots,14,1,1,10,0.458470,0.464492,68332,5864,24.133543,2.833358
A_urgent_slots,14,1,1,11,0.459726,0.472956,68122,6022,23.918236,2.856201
A_urgent_slots,14,1,1,12,0.437850,0.454459,68036,6026,20.188009,2.859153
A_urgent_slots,14,1,1,13,0.449177,0.466583,68018,6014,21.940252,2.867219
A_urgent_slots,14,1,1,14,0.437978,0.465811,67723,6193,19.690601,2.886950
A_urgent_slots,14,1,1,15,0.429637,0.448470,67988,5980,19.111842,2.842880
A_urgent_slots,15,1,1,0,0.429299,0.464960,67887,5986,22.060993,2.681852
A_urgent_slots,15,1,1,1,0.531999,0.499743,68959,6019,38.859736,2.706217
A_urgent_slots,15,1,1,2,0.444385,0.469588,68057,6042,24.496792,2.687139
A_urgent_slots,15,1,1,3,0.469397,0.475862,68354,6064,28.526110,2.696390
A_urgent_slots,15,1,1,4,0.453304,0.476689,68083,6015,25.676556,2.704208
A_urgent_slots,15,1,1,5,0.478317,0.480861,68427,6181,29.229854,2.738966
A_urgent_slots,15,1,1,6,0.461637,0.470900,68306,6023,27.305648,2.691929
A_urgent_slots,15,1,1,7,0.482050,0.462017,68768,6033,30.441052,2.707677
A_urgent_slots,15,1,1,8,0.468800,0.472709,68403,6155,28.601790,2.686962
A_urgent_slots,15,1,1,9,0.447814,0.494864,67718,6092,24.281800,2.729512
A_urgent_slots,15,1,1,10,0.470802,0.477374,68333,5864,28.819127,2.693338
A_urgent_slots,15,1,1,11,0.477447,0.498269,68124,6022,29.578928,2.712437
A_urgent_slots,15,1,1,12,0.444192,0.470694,68035,6026,23.968244,2.713714
A_urgent_slots,15,1,1,13,0.459200,0.486899,68015,6014,26.409608,2.717999
A_urgent_slots,15,1,1,14,0.439108,0.486524,67722,6193,22.693411,2.736253
A_urgent_slots,15,1,1,15,0.436348,0.465554,67988,5980,22.749264,2.708419
A_urgent_slots,16,1,1,0,0.435631,0.518254,67871,5986,25.963431,2.529777
A_urgent_slots,16,1,1,1,0.673556,0.602570,68956,6019,65.236242,2.567202
A_urgent_slots,16,1,1,2,0.461217,0.515368,68070,6042,30.111940,2.537813
A_urgent_slots,16,1,1,3,0.508524,0.522529,68353,6064,37.878827,2.547491
A_urgent_slots,16,1,1,4,0.478577,0.531051,68083,6015,32.494409,2.566418
A_urgent_slots,16,1,1,5,0.536894,0.539737,68427,6181,41.839906,2.590619
A_urgent_slots,16,1,1,6,0.505602,0.522115,68337,6023,37.176138,2.558838
A_urgent_slots,16,1,1,7,0.518295,0.475646,68755,6033,39.607870,2.542805
A_urgent_slots,16,1,1,8,0.497672,0.503640,68406,6155,35.662313,2.568566
A_urgent_slots,16,1,1,9,0.459140,0.558662,67747,6092,29.159645,2.570133
A_urgent_slots,16,1,1,10,0.490470,0.508499,68333,5864,34.910320,2.544034
A_urgent_slots,16,1,1,11,0.509926,0.556279,68126,6022,37.764483,2.566235
A_urgent_slots,16,1,1,12,0.458232,0.517570,68034,6026,28.940538,2.573706
A_urgent_slots,16,1,1,13,0.478697,0.541217,68012,6014,32.438588,2.570496
A_urgent_slots,16,1,1,14,0.446010,0.548605,67721,6193,26.627690,2.587609
A_urgent_slots,16,1,1,15,0.453990,0.520106,67988,5980,28.612552,2.553093
A_urgent_slots,17,1,1,0,0.466957,0.657645,67854,5986,31.732289,2.502672
A_urgent_slots,17,1,1,1,0.984027,0.823698,68952,6019,117.873996,2.541567
A_urgent_slots,17,1,1,2,0.540387,0.658167,68086,6042,43.976756,2.507581
A_urgent_slots,17,1,1,3,0.636361,0.681322,68315,6064,59.893190,2.518685
A_urgent_slots,17,1,1,4,0.547605,0.665653,68083,6015,44.581704,2.540138
A_urgent_slots,17,1,1,5,0.649631,0.659466,68434,6181,61.221749,2.566938
A_urgent_slots,17,1,1,6,0.634012,0.655807,68384,6023,59.279994,2.530393
A_urgent_slots,17,1,1,7,0.654191,0.569850,68716,6033,63.023473,2.511459
A_urgent_slots,17,1,1,8,0.578994,0.595852,68410,6155,49.891249,2.538203
A_urgent_slots,17,1,1,9,0.509275,0.725441,67783,6092,38.057950,2.544654
A_urgent_slots,17,1,1,10,0.567709,0.604001,68326,5864,48.445774,2.514068
A_urgent_slots,17,1,1,11,0.605832,0.709960,68127,6022,54.364834,2.540091
A_urgent_slots,17,1,1,12,0.503882,0.637915,68034,6026,37.147726,2.544880
A_urgent_slots,17,1,1,13,0.531377,0.672793,68010,6014,41.835420,2.541209
A_urgent_slots,17,1,1,14,0.481485,0.723962,67709,6193,33.163031,2.556772
A_urgent_slots,17,1,1,15,0.501940,0.649532,67988,5980,37.198483,2.524689
A_urgent_slots,18,1,1,0,0.549784,1.372049,67825,5986,46.180651,2.474095
A_urgent_slots,18,1,1,1,2.275830,2.094573,68586,6019,335.478160,2.510429
A_urgent_slots,18,1,1,2,0.692411,1.165782,68098,6042,70.015750,2.480852
A_urgent_slots,18,1,1,3,0.947559,1.333392,68168,6064,112.672487,2.492003
A_urgent_slots,18,1,1,4,0.735866,1.251641,68061,6015,76.771638,2.510025
A_urgent_slots,18,1,1,5,0.946873,1.165356,68316,6181,111.667116,2.539694
A_urgent_slots,18,1,1,6,0.937321,0.963157,68431,6023,110.779899,2.501248
A_urgent_slots,18,1,1,7,1.619102,1.441366,68586,6033,225.627996,2.484703
A_urgent_slots,18,1,1,8,0.804526,0.883509,68416,6155,88.321077,2.509249
A_urgent_slots,18,1,1,9,0.700136,1.559700,67817,6092,70.687126,2.514409
A_urgent_slots,18,1,1,10,0.765288,1.031676,68220,5864,82.146939,2.486862
A_urgent_slots,18,1,1,11,0.784105,1.215217,68126,6022,84.877881,2.509914
A_urgent_slots,18,1,1,12,0.603551,1.176606,68020,6026,54.454943,2.514731
A_urgent_slots,18,1,1,13,0.672715,1.233445,68027,6014,66.173658,2.509420
A_urgent_slots,18,1,1,14,0.538730,1.563307,67712,6193,43.347933,2.526360
A_urgent_slots,18,1,1,15,0.584835,1.171582,68001,5980,51.602238,2.499109
A_urgent_slots,19,1,1,0,0.737371,3.625286,67732,5986,78.206635,2.446700
A_urgent_slots,19,1,1,1,4.022911,5.426785,68103,6019,629.593856,2.477956
A_urgent_slots,19,1,1,2,1.122808,2.632939,68078,6042,142.907175,2.449530
A_urgent_slots,19,1,1,3,1.399373,3.449907,67945,6064,189.126277,2.462592
A_urgent_slots,19,1,1,4,1.297762,3.215481,67975,6015,171.680966,2.482665
A_urgent_slots,19,1,1,5,1.623089,3.195840,68071,6181,225.853355,2.508514
A_urgent_slots,19,1,1,6,2.719051,4.123917,68103,6023,410.676348,2.470943
A_urgent_slots,19,1,1,7,3.323171,4.730516,68103,6033,512.451157,2.455798
A_urgent_slots,19,1,1,8,2.060181,3.497776,68103,6155,299.849031,2.478290
A_urgent_slots,19,1,1,9,1.009226,4.188886,67666,6092,123.176366,2.484303
A_urgent_slots,19,1,1,10,1.263459,2.805877,68059,5864,166.397179,2.456997
A_urgent_slots,19,1,1,11,1.713727,3.753847,67945,6022,241.588625,2.481297
A_urgent_slots,19,1,1,12,0.825837,2.903148,67936,6026,92.299311,2.487929
A_urgent_slots,19,1,1,13,1.137933,2.846252,68027,6014,144.875787,2.480197
